group1,group2,u_statistic,p_value,p_bonferroni,significant_uncorrected,significant_bonferroni,effect_size_r,effect_interpretation,median_group1,median_group2,mean_rank_group1,mean_rank_group2,n_group1,n_group2,winner,metric
T1,T2,174945.5,0.004506224134452264,0.09463070682349754,True,False,0.07803045864080317,Negligible,19.991165667639528,19.997206051885748,242.5,399.0,484,797,T2,tps
T1,T3,433100.5,0.0022844594929418696,0.04797364935177926,True,True,0.06530222915838237,Negligible,19.991165667639528,19.982585357204776,242.5,821.5,484,1642,T1,tps
T1,T4,40188.5,1.5555736660019411e-18,3.266704698604076e-17,True,True,0.3593531518642724,Medium,19.991165667639528,19.89118603407141,242.5,54.5,484,108,T1,tps
T1,T5,789939.0,1.3204203926951317e-34,2.7728828246597766e-33,True,True,0.2267074275245992,Small,19.991165667639528,19.875570515658026,242.5,1208.5,484,2416,T1,tps
T1,T6,112398.5,0.00018102866217522168,0.0038016019056796553,True,True,0.12414238193241124,Small,19.991165667639528,19.963017981301178,242.5,203.5,484,406,T1,tps
T1,T7,76601.0,4.4657071219334116e-12,9.377984956060165e-11,True,True,0.255549208469619,Small,19.991165667639528,19.924759477743034,242.5,121.0,484,241,T1,tps
T2,T3,757668.5,1.156568818628373e-10,2.4287945191195834e-09,True,True,0.12826459861423942,Small,19.997206051885748,19.982585357204776,399.0,821.5,797,1642,T2,tps
T2,T4,67354.5,3.1366186810234745e-22,6.586899230149297e-21,True,True,0.317075189719889,Medium,19.997206051885748,19.89118603407141,399.0,54.5,797,108,T2,tps
T2,T5,1342093.0,1.5726368582483965e-63,3.3025374023216326e-62,True,True,0.2946707343778042,Small,19.997206051885748,19.875570515658026,399.0,1208.5,797,2416,T2,tps
T2,T6,194261.5,6.068849559045368e-09,1.2744584073995273e-07,True,True,0.16430143804586128,Small,19.997206051885748,19.963017981301178,399.0,203.5,797,406,T2,tps
T2,T7,131167.0,2.1003121545780615e-18,4.410655524613929e-17,True,True,0.2673659491673668,Small,19.997206051885748,19.924759477743034,399.0,121.0,797,241,T2,tps
T3,T4,117414.5,1.0668423808843659e-08,2.2403689998571682e-07,True,True,0.13508746335902047,Small,19.982585357204776,19.89118603407141,821.5,54.5,1642,108,T3,tps
T3,T5,2468348.0,1.4426268994905587e-40,3.0295164889301736e-39,True,True,0.20776069792558557,Small,19.982585357204776,19.875570515658026,821.5,1208.5,1642,2416,T3,tps
T3,T6,347658.5,0.17290959287046792,1.0,False,False,0.029684314549496046,Negligible,19.982585357204776,19.963017981301178,821.5,203.5,1642,406,T3,tps
T3,T7,232639.0,7.967519178538806e-06,0.00016731790274931491,True,True,0.10167976159003533,Small,19.982585357204776,19.924759477743034,821.5,121.0,1642,241,T3,tps
